Index,Game Name,Copy,Time Out,Time In,Name
0,5 Minute Dungeon,1,,,
1,5 Minute Marvel,1,3/16/2024 13:00,3/16/2024 19:00,User1
2,7 Wonders Architects,1,3/16/2024 12:50,3/16/2024 13:25,User2
3,7 Wonders Architects,1,3/16/2024 14:45,3/16/2024 14:46,User3
4,Apples to Apples Express,1,,,
5,Apples to Apples Jr,1,,,
6,Azul,1,3/16/2024 12:19,3/16/2024 16:15,User4
7,Balderdash Junior,1,,,
8,Bananagrams,1,,,
9,Blockers!,1,,,
10,Camel Up,1,,,
11,Candyland ,1,3/16/2024 12:12,3/16/2024 12:50,User5
12,Candyland ,2,,,
13,Cascadia,1,3/16/2024 16:29,3/16/2024 16:30,User6
14,Chameleon,1,,,
15,Checkers,1,3/16/2024 14:33,3/16/2024 14:50,User7
16,Chinese Checkers,1,3/16/2024 12:11,3/16/2024 12:27,User8
17,Chutes and Ladders,1,3/16/2024 12:44,3/16/2024 12:45,User9
18,Chutes and Ladders,1,3/16/2024 12:50,3/16/2024 13:05,User5
19,Chutes and Ladders,1,3/16/2024 13:15,3/16/2024 13:55,User10
20,Clank,1,3/16/2024 14:58,3/16/2024 17:15,User11
21,Clue,1,3/16/2024 11:09,3/16/2024 13:00,User12
22,Clue,1,3/16/2024 13:35,3/16/2024 14:36,User13
23,Clue,1,3/16/2024 15:45,3/16/2024 17:45,User14
24,Cockroach Poker,1,3/16/2024 13:25,3/16/2024 13:40,User2
25,Connect 4,1,3/16/2024 12:04,3/16/2024 12:12,User5
26,Connect 4,1,3/16/2024 13:55,3/16/2024 14:30,User15
27,Coup,1,3/16/2024 13:00,3/16/2024 13:12,User16
28,Dizzy Dizzy,1,,,
29,Draftosaurus,1,3/16/2024 14:18,3/16/2024 15:08,User6
30,Exploding Kittens,1,,,
31,Eye Found It,1,,,
32,Fort Worth Opooly,1,,,
33,Go Fish,1,,,
34,Guess Who,1,3/16/2024 12:58,3/16/2024 14:00,User1
35,Guess Who,1,3/16/2024 14:14,3/16/2024 14:28,User11
36,Guess Who,2,,,
37,Head Hints,1,3/16/2024 11:14,3/16/2024 12:04,User17
38,Hero Realms,1,,,
39,HiHo Cherryo,1,3/16/2024 13:55,3/16/2024 14:31,User18
40,I Scream,1,3/16/2024 16:46,3/16/2024 16:46,User19
41,Jenga,1,3/16/2024 12:45,3/16/2024 13:00,User13
42,Jenga,1,3/16/2024 13:40,3/16/2024 14:07,User20
43,Jenga,1,3/16/2024 14:30,3/16/2024 14:31,User15
44,Jinx,1,,,
45,Jumanji,1,3/16/2024 13:00,3/16/2024 13:40,User13
46,Just Desserts,1,,,
47,King of Tokyo,1,3/16/2024 12:42,3/16/2024 13:25,User21
48,King of Tokyo,1,3/16/2024 15:55,3/16/2024 16:00,User6
49,Kingdomino,1,,,
50,Kingomania Disney,1,,,
51,Long Cow,1,,,
52,Machi,1,,,
53,Machi Koro,1,,,
54,Mancala,1,3/16/2024 12:05,3/16/2024 13:00,User22
55,Mancala,1,3/16/2024 14:20,3/16/2024 14:22,User16
56,Mars Escape,1,,,
57,Memory Match: Garden Harvest,1,3/16/2024 12:42,3/16/2024 13:10,User7
58,Monopoly Call of Duty,1,,,
59,Monopoly Cats,1,,,
60,Monopoly Deal,1,3/16/2024 15:45,3/16/2024 15:47,User23
61,Monopoly Fortnite,1,3/16/2024 10:45,3/16/2024 11:27,User24
62,Monopoly Junior,1,3/16/2024 10:30,3/16/2024 11:35,User23
63,Monopoly Junior,1,3/16/2024 15:48,3/16/2024 17:20,User23
64,Monopoly Junior,2,,,
65,Monopoly Junior,3,,,
66,Mouse Trap,1,3/16/2024 10:56,3/16/2024 10:57,User25
67,Mouse Trap,1,3/16/2024 12:08,3/16/2024 12:27,User26
68,Mouse Trap,1,3/16/2024 12:45,3/16/2024 13:00,User27
69,Munchkin,1,3/16/2024 14:08,3/16/2024 14:12,User20
70,NMBR9,1,3/16/2024 11:20,3/16/2024 12:21,User14
71,NMBR10,1,3/16/2024 17:30,3/16/2024 17:31,User23
72,Operation,1,3/16/2024 12:30,3/16/2024 12:45,User13
73,Operation,1,3/16/2024 15:39,3/16/2024 15:39,User28
74,Paw Patrol - Don't Drop Chase,1,3/16/2024 14:38,3/16/2024 14:50,User29
75,Paw Patrol - Don't Drop Chase,1,3/16/2024 14:56,3/16/2024 15:18,User9
76,Paw Patrol - Don't Drop Chase,1,3/16/2024 15:18,3/16/2024 17:43,User28
77,Phase 10,1,,,
78,Pigasus,1,3/16/2024 14:28,3/16/2024 14:57,User11
79,Piratoons,1,,,
80,Point Salad,1,3/16/2024 14:06,3/16/2024 14:50,User2
81,"Pretty, Pretty Princess",1,,,
82,Rise of Augustus,1,,,
83,Risk,1,3/16/2024 10:52,3/16/2024 10:53,User30
84,Scotland Yard,1,,,
85,Scrabble Junior: Disney Ed,1,,,
86,Sheriff of Nottingham,1,,,
87,Skipbo,1,,,
88,Skull,1,,,
89,Sleeping Queens,1,3/16/2024 12:03,3/16/2024 14:05,User28
90,Sleeping Queens,1,3/16/2024 14:27,3/16/2024 14:53,User31
91,Sorry,1,3/16/2024 12:45,3/16/2024 14:10,User32
92,Sorry,1,3/16/2024 15:06,3/16/2024 16:01,User33
93,Sorry,2,,,
94,Space Base,1,,,
95,Splendor Marvel,1,3/16/2024 14:14,3/16/2024 14:15,User20
96,Splendor Marvel,1,,,
97,Spot It,1,3/16/2024 11:27,3/16/2024 11:46,User34
98,Spot It,1,3/16/2024 11:54,3/16/2024 12:02,User5
99,Spot It,1,3/16/2024 13:15,3/16/2024 14:15,User29
100,Spot It,1,3/16/2024 15:15,3/16/2024 15:16,User16
101,Stratego Star Wars,1,3/16/2024 14:00,3/16/2024 14:37,User35
102,Sushi Go,1,3/16/2024 11:41,3/16/2024 12:14,User7
103,Sushi Go,1,3/16/2024 13:45,3/16/2024 14:00,User36
104,"Taco, Cat, Goat, Cheese, Pizza",1,3/16/2024 10:55,3/16/2024 11:13,User17
105,"Taco, Cat, Goat, Cheese, Pizza",1,3/16/2024 12:08,3/16/2024 12:19,User34
106,"Taco, Cat, Goat, Cheese, Pizza",1,3/16/2024 14:09,3/16/2024 14:20,User16
107,"Taco, Cat, Goat, Cheese, Pizza",1,3/16/2024 14:45,3/16/2024 14:54,User9
108,"Taco, Cat, Goat, Cheese, Pizza",1,3/16/2024 15:19,3/16/2024 15:53,User28
109,Thomas & Friends Popup Game,1,3/16/2024 12:38,3/16/2024 14:14,User28
110,Ticket to Ride,1,3/16/2024 14:37,3/16/2024 14:38,User3
111,Ticket to Ride,1,3/16/2024 15:54,3/16/2024 16:55,User3
112,Tiny Towns,1,3/16/2024 14:45,3/16/2024 14:59,User37
113,Trash Pandas,1,3/16/2024 13:55,3/16/2024 14:08,User16
114,Trouble,1,,,
115,Tsuru,1,3/16/2024 11:27,3/16/2024 11:54,User24
116,Tsuru,1,3/16/2024 13:40,3/16/2024 14:05,User2
117,Tumble,1,3/16/2024 12:19,3/16/2024 12:45,User27
118,Tumble,1,3/16/2024 14:17,3/16/2024 15:15,User9
119,Twister,1,,,
120,Uno,1,3/16/2024 15:35,3/16/2024 15:54,User38
121,Upwords,1,3/16/2024 13:00,3/16/2024 13:01,User27
122,Yahtzee,1,,,
